"Guid","AccountId","AssistantName","AssistantPhone","Birthdate","Department","Description","Email","EmailBouncedReason","Fax","FirstName","HasOptedOutOfEmail","HomePhone","Jigsaw","LastName","LeadSource","MailingCity","MailingCountry","MailingGeocodeAccuracy","MailingLatitude","MailingLongitude","MailingPostalCode","MailingState","MailingStreet","MobilePhone","OtherCity","OtherCountry","OtherGeocodeAccuracy","OtherLatitude","OtherLongitude","OtherPhone","OtherPostalCode","OtherState","OtherStreet","Phone","Product_Areas__c","ReportsToId","Salutation","Title","ccrz__CompanyName__c","ccrz__CompanyType__c","ccrz__DataId__c","ccrz__IsPortalUser__c","ccrz__SelfRegistered__c"
0056c258-2793-474b-8127-4ac917092c93,710d6c62-80c6-4365-92a7-c606b322436a,"#N/A","#N/A",1978-02-20,"#N/A","#N/A",jmanningcongagdo+494@gmail.com,"#N/A","#N/A",Lurette,false,"#N/A","#N/A",Ivor,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",011 49 69 3576 6843,"#N/A","#N/A","#N/A",COO,Prodly,"#N/A","#N/A",false,false
005fe344-f01b-414d-a27e-6f8143bccab7,8935e75f-d5c0-4863-ab47-e2a17be1cb9d,"#N/A",(03) 7532 7153,"#N/A",Sales,"#N/A",jmanningcongagdo+148@gmail.com,"#N/A",(03) 7532 7153,Dorita,false,"#N/A","#N/A",Sawyere,"#N/A",Hawthorn,Australia,"#N/A","#N/A","#N/A",3122,VIC,3/33 Elphin Gr,0411 877 438,Hawthorn,Australia,"#N/A","#N/A","#N/A","#N/A",3122,VIC,3/33 Elphin Gr,(03) 7532 7153,"#N/A","#N/A","#N/A",Sales Executive,Prodly,"#N/A","#N/A",false,false
00650731-1c6b-4e9b-af0e-fc8a6bb2e3f4,906989b6-d4e8-4482-b2df-7066a0403f99,"#N/A","#N/A","#N/A","#N/A","Bill Gates shapes and approves foundation strategies, advocates for the foundation’s issues, and sets the organization’s overall direction.",jmanningcongagdo+599@gmail.com,"#N/A","#N/A",Abbi,false,"#N/A","#N/A",Davey,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",(121) 869-9204,"#N/A","#N/A","#N/A",Co-Chair and Trustee,Prodly,"#N/A","#N/A",false,false
006b6db2-2717-44ef-94a9-45147e8a2658,6bdb335e-1999-45f2-8a23-8fc946a880b5,"#N/A","#N/A","#N/A","#N/A","#N/A",jmanningcongagdo+642@gmail.com,"#N/A","#N/A",Bren,false,"#N/A","#N/A",Harald,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",+44 20 5678 9900,"#N/A","#N/A","#N/A",COO,Prodly,"#N/A","#N/A",false,false
00e25130-7ebb-43d2-b779-8071f7d2e6b4,24e9f70f-c385-4e09-ac7c-95fca549c5f2,"#N/A","#N/A","#N/A","#N/A","#N/A",jmanningcongagdo+252@gmail.com,"#N/A","#N/A",Lina,false,"#N/A","#N/A",Reuben,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",(312)659-4515,"#N/A","#N/A","#N/A",CTO,Prodly,"#N/A","#N/A",false,false
01319e74-b8a2-43c0-afab-7a74d06694de,d85202b5-5ab4-4d1d-9118-2a29fcded4c5,"#N/A","#N/A","#N/A","#N/A","#N/A",jmanningcongagdo+635@gmail.com,"#N/A","#N/A",Lin,false,"#N/A","#N/A",Desmond,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",011 49 69 3576 6843,"#N/A","#N/A","#N/A",CIO,Prodly,"#N/A","#N/A",false,false
01626761-a2b6-400c-ba15-6cea3905c8eb,bedbb742-81b5-422f-b1d8-e7c9efcbadea,"#N/A","#N/A","#N/A","#N/A","Gil leads the team responsible for safe, reliable operations across the globe, including more than 70,000 employees in Airport Customer Service; Cargo; Corporate Safety, Security and Compliance; Delta Connection; Delta Global Services; Delta Private Jets; Flight Operations; In-Flight Service; Information Technology; Operations Analysis and Performance; Operations and Customer Center; Supply Chain Management; and Technical Operations.",jmanningcongagdo+36@gmail.com,"#N/A","#N/A",Moll,false,"#N/A","#N/A",Martie,"#N/A",Denver,USA,"#N/A","#N/A","#N/A",80205,CO,2001 Blake Street,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",(732) 602-5207,"#N/A","#N/A","#N/A",SEVP and COO,Prodly,"#N/A","#N/A",false,false
031f49f5-0423-4a74-ae8f-9b09620e80c2,64668e53-9fb1-4bfb-aa43-80bba795a6de,"#N/A","#N/A","#N/A","#N/A","#N/A",jmanningcongagdo+420@gmail.com,"#N/A","#N/A",Jere,false,"#N/A","#N/A",Bruce,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",(688) 761-6550,"#N/A","#N/A","#N/A",CFO,Prodly,"#N/A","#N/A",false,false
033cefdf-a271-4f97-a12e-0988d56ace50,2095f251-f2c9-4527-a8be-abcac6a29ebd,"#N/A","#N/A","#N/A","#N/A","#N/A",jmanningcongagdo+848@gmail.com,"#N/A","#N/A",Gilbertine,false,"#N/A","#N/A",Salmon,"#N/A",GLENTHOMPSON,Australia,"#N/A","#N/A","#N/A","#N/A",VIC,88 Bailey Street,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",3293,"#N/A","#N/A",(03) 5338 4057,"#N/A","#N/A","#N/A",SVP,Prodly,"#N/A","#N/A",false,false
03a0586c-76d9-4ca1-b39e-7ed308b32d32,bf591d28-a62b-44bc-8082-c3ef0ece3886,"#N/A","#N/A","#N/A","#N/A","#N/A",jmanningcongagdo+178@gmail.com,"#N/A","#N/A",Ardeen,false,"#N/A","#N/A",Stanislaus,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",(650) 681-5105,"#N/A","#N/A","#N/A",CEO,Prodly,"#N/A","#N/A",false,false
04157b98-cff9-4137-b34f-3eba036bd478,d6bc626e-b2a3-40d7-8dd0-36c12ca4b874,"#N/A","#N/A",1973-08-20,"#N/A","Robert B. (R.B.) Harrison has been Macy’s, Inc.’s chief operations officer since September 2017, responsible for the company's systems, logistics and related operating functions. Previously, Harrison was chief omnichannel officer since January 2013, managing the development of strategies to closely integrate the company’s stores, online and mobile activities.",jmanningcongagdo+270@gmail.com,"#N/A","#N/A",Jaquelyn,false,"#N/A","#N/A",Crawford,"#N/A",San Francisco,USA,"#N/A","#N/A","#N/A",94105,CA,555 Corporate Ave.,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",(835) 840-7202,"#N/A","#N/A","#N/A",COO,Prodly,"#N/A","#N/A",false,false
048faaeb-47fc-4518-915d-e4b41a59dbac,fbe82b49-3600-48c7-8ea5-797304010915,"#N/A","#N/A","#N/A","#N/A","#N/A",jmanningcongagdo+492@gmail.com,"#N/A","#N/A",Noell,false,"#N/A","#N/A",Alister,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",+33 0 1 42 14 20 00,"#N/A","#N/A","#N/A",CIO,Prodly,"#N/A","#N/A",false,false
0493e524-1abd-4e7f-ac40-0192cf632304,929614ff-c622-499b-8a68-d7f111eec76d,"#N/A","#N/A",1972-07-20,"#N/A","Diana Farrell is the founding President and Chief Executive Officer of the JPMorgan Chase Institute. Previously, Diana was the Global Head of the McKinsey Center for Government, providing research, proprietary data and other tools to support government leaders focused on improving performance.",jmanningcongagdo+676@gmail.com,"#N/A","#N/A",Cinderella,false,"#N/A","#N/A",Linc,"#N/A",Green Bay,USA,"#N/A","#N/A","#N/A",54304,WI,1265 Lombardi Avenue,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",(174) 392-7361,"#N/A","#N/A","#N/A",CEO,Prodly,"#N/A","#N/A",false,false
